CONTAINER

92f58a51$for FILE in */**; do mpirun -np 2 $FILE; done

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
# Size          Latency (us)
0                       0.57
1                       0.61
2                       0.61
4                       0.61
8                       0.61
16                      0.64
32                      0.64
64                      0.65
128                     0.65
256                     0.65
512                     0.73
1024                    0.72
2048                    0.79
4096                    1.86
8192                    2.06
16384                   2.52
32768                   3.27
65536                   5.15
131072                  9.99
262144                 23.52
524288                 48.85
1048576                94.15
2097152               183.16
4194304               363.24
# Number of Sender threads: 1 
# Number of Receiver threads: 2
# OSU MPI Multi-threaded Latency Test v5.9
# Size          Latency (us)
0                       4.27
1                       4.26
2                       4.25
4                       4.26
8                       4.26
16                      4.27
32                      4.29
64                      4.29
128                     4.29
256                     4.32
512                     5.29
1024                    5.49
2048                    5.17
4096                    9.42
8192                    9.34
16384                  11.44
32768                  15.34
65536                  19.03
131072                 22.59
262144                 35.27
524288                 60.03
1048576               107.57
2097152               198.92
4194304               395.47
# OSU MPI Multiple Bandwidth / Message Rate Test v5.9
[r35c2t6n1:1626978] *** Process received signal ***
[r35c2t6n1:1626978] Signal: Segmentation fault (11)
[r35c2t6n1:1626978] Signal code: Address not mapped (1)
[r35c2t6n1:1626978] Failing at address: 0
Unable to print stack trace!
[r35c2t6n1:1626978] *** End of error message ***
--------------------------------------------------------------------------
Primary job  terminated normally, but 1 process returned
a non-zero exit code. Per user-direction, the job has been aborted.
--------------------------------------------------------------------------
--------------------------------------------------------------------------
mpirun noticed that process rank 0 with PID 0 on node r35c2t6n1 exited on signal 11 (Segmentation fault).
--------------------------------------------------------------------------
# OSU MPI Multi Latency Test v5.9
# Size          Latency (us)
0                       0.57
1                       0.61
2                       0.61
4                       0.62
8                       0.61
16                      0.65
32                      0.65
64                      0.65
128                     0.66
256                     0.66
512                     0.72
1024                    0.72
2048                    0.78
4096                    1.81
8192                    1.99
16384                   2.46
32768                   3.19
65536                   4.67
131072                  9.29
262144                 23.45
524288                 48.12
1048576                94.70
2097152               188.20
4194304               359.89
# OSU MPI Hello World Test v5.9
This is a test with 2 processes
# OSU MPI Init Test v5.9
nprocs: 2, min: 102 ms, max: 102 ms, avg: 102 ms
