BARE METAL

hpc43203 r35c2t6n1 220$ for FILE in */**; do mpirun -np 2 $FILE; done

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
524288                185.28             90.45             86.53              0.00
1048576               387.94            182.98            175.57              0.00

# OSU MPI Non-blocking Scatter Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.84              0.96              0.44              0.00
2                       1.49              0.97              0.43              0.00
4                       1.53              0.98              0.45              0.00
8                       1.50              0.97              0.44              0.00
16                      1.49              0.96              0.45              0.00
32                      1.51              0.97              0.44              0.00
64                      1.46              0.96              0.46              0.00
128                     1.50              0.96              0.44              0.00
256                     1.51              0.96              0.46              0.00
512                     1.52              0.96              0.47              0.00
1024                    1.54              0.96              0.50              0.00
2048                    1.66              0.98              0.63              0.00
4096                    2.16              1.35              0.79              0.00
8192                    2.97              1.91              1.20             12.19
16384                   8.83              4.73              4.33              5.54
32768                  10.22              6.05              5.33             21.80
65536                  14.08              8.29              7.20             19.59
131072                 20.58             12.19             11.43             26.61
262144                 37.63             23.06             21.97             33.70
524288                 73.93             46.81             44.33             38.84
1048576               137.56             87.30             83.31             39.67

# OSU MPI Non-blocking Scatterv Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.97              1.42              0.73             24.00
2                       1.49              0.95              0.46              0.00
4                       1.49              0.96              0.45              0.00
8                       1.49              0.96              0.45              0.00
16                      1.48              0.95              0.44              0.00
32                      1.51              0.97              0.45              0.00
64                      1.49              0.96              0.44              0.00
128                     1.57              0.97              0.54              0.00
256                     1.55              0.96              0.55              0.00
512                     1.55              0.96              0.59              0.11
1024                    1.60              0.98              0.56              0.00
2048                    1.62              0.95              0.69              2.41
4096                    2.22              1.42              0.96             16.81
8192                    2.88              1.88              1.23             18.61
16384                   8.64              5.12              4.40             19.97
32768                  10.90              6.41              5.38             16.47
65536                  14.12              8.31              7.28             20.19
131072                 21.72             12.89             11.67             24.38
262144                 36.49             22.53             21.19             34.15
524288                 70.38             44.13             41.92             37.38
1048576               132.36             81.85             78.38             35.56

# OSU MPI Reduce Latency Test v5.9
# Size       Avg Latency(us)
4                       0.15
8                       0.12
16                      0.15
32                      0.12
64                      0.13
128                     0.19
256                     0.21
512                     0.25
1024                    0.33
2048                    0.51
4096                    0.71
8192                    1.37
16384                   2.47
32768                   4.94
65536                   9.09
131072                 18.50
262144                 37.82
524288                 79.48
1048576               167.63

# OSU MPI Reduce_scatter Latency Test v5.9
# Size       Avg Latency(us)
4                       0.25
8                       0.32
16                      0.33
32                      0.33
64                      0.34
128                     0.33
256                     0.41
512                     0.42
1024                    0.52
2048                    0.70
4096                    1.03
8192                    1.64
16384                   2.88
32768                   5.72
65536                  11.50
131072                 50.31
262144                113.46
524288                 97.03
1048576               186.35

# OSU MPI Scatter Latency Test v5.9
# Size       Avg Latency(us)
1                       0.12
2                       0.13
4                       0.13
8                       0.13
16                      0.13
32                      0.13
64                      0.13
128                     0.19
256                     0.19
512                     0.20
1024                    0.24
2048                    0.38
4096                    0.54
8192                    0.90
16384                   1.97
32768                   3.48
65536                   7.07
131072                 16.24
262144                 21.33
524288                 41.23
1048576                80.42

# OSU MPI Scatterv Latency Test v5.9
# Size       Avg Latency(us)
1                       0.13
2                       0.13
4                       0.13
8                       0.13
16                      0.13
32                      0.14
64                      0.13
128                     0.19
256                     0.20
512                     0.21
1024                    0.24
2048                    0.36
4096                    0.55
8192                    0.78
